CODE_DOMAIN,CODE_VALUE,CODE_DESC,uri,uri2,uri3,uri4,label1,label2,label3
C_O_SOIL_TAXONOMY,UAQFR,Fragiaquult,http://registry.it.csiro.au/def/soils/soil-taxonomy/,fragiaquult,fragiaquult,http://registry.it.csiro.au/def/soils/soil-taxonomy/fragiaquult,',@en,'Fragiaquult'@en
C_O_SOIL_TAXONOMY,UAQKA,Kandiaquult,http://registry.it.csiro.au/def/soils/soil-taxonomy/,kandiaquult,kandiaquult,http://registry.it.csiro.au/def/soils/soil-taxonomy/kandiaquult,',@en,'Kandiaquult'@en
C_O_SOIL_TAXONOMY,UAQKH,Kanhaplaquult,http://registry.it.csiro.au/def/soils/soil-taxonomy/,kanhaplaquult,kanhaplaquult,http://registry.it.csiro.au/def/soils/soil-taxonomy/kanhaplaquult,',@en,'Kanhaplaquult'@en
C_O_SOIL_TAXONOMY,UAQOC,Ochraquult,http://registry.it.csiro.au/def/soils/soil-taxonomy/,ochraquult,ochraquult,http://registry.it.csiro.au/def/soils/soil-taxonomy/ochraquult,',@en,'Ochraquult'@en
C_O_SOIL_TAXONOMY,UAQPA,Paleaquult,http://registry.it.csiro.au/def/soils/soil-taxonomy/,paleaquult,paleaquult,http://registry.it.csiro.au/def/soils/soil-taxonomy/paleaquult,',@en,'Paleaquult'@en
C_O_SOIL_TAXONOMY,UAQPN,Plinthaquult,http://registry.it.csiro.au/def/soils/soil-taxonomy/,plinthaquult,plinthaquult,http://registry.it.csiro.au/def/soils/soil-taxonomy/plinthaquult,',@en,'Plinthaquult'@en
C_O_SOIL_TAXONOMY,UAQTR,Tropaquult,http://registry.it.csiro.au/def/soils/soil-taxonomy/,tropaquult,tropaquult,http://registry.it.csiro.au/def/soils/soil-taxonomy/tropaquult,',@en,'Tropaquult'@en
C_O_SOIL_TAXONOMY,UAQUM,Umbraquult,http://registry.it.csiro.au/def/soils/soil-taxonomy/,umbraquult,umbraquult,http://registry.it.csiro.au/def/soils/soil-taxonomy/umbraquult,',@en,'Umbraquult'@en
C_O_SOIL_TAXONOMY,UHU,Humult,http://registry.it.csiro.au/def/soils/soil-taxonomy/,humult,humult,http://registry.it.csiro.au/def/soils/soil-taxonomy/humult,',@en,'Humult'@en
C_O_SOIL_TAXONOMY,UHUHA,Haplohumult,http://registry.it.csiro.au/def/soils/soil-taxonomy/,haplohumult,haplohumult,http://registry.it.csiro.au/def/soils/soil-taxonomy/haplohumult,',@en,'Haplohumult'@en
C_O_SOIL_TAXONOMY,UHUKA,Kandihumult,http://registry.it.csiro.au/def/soils/soil-taxonomy/,kandihumult,kandihumult,http://registry.it.csiro.au/def/soils/soil-taxonomy/kandihumult,',@en,'Kandihumult'@en
C_O_SOIL_TAXONOMY,UHUKH,Kanhaplohumult,http://registry.it.csiro.au/def/soils/soil-taxonomy/,kanhaplohumult,kanhaplohumult,http://registry.it.csiro.au/def/soils/soil-taxonomy/kanhaplohumult,',@en,'Kanhaplohumult'@en
C_O_SOIL_TAXONOMY,UHUPN,Plinthohumult,http://registry.it.csiro.au/def/soils/soil-taxonomy/,plinthohumult,plinthohumult,http://registry.it.csiro.au/def/soils/soil-taxonomy/plinthohumult,',@en,'Plinthohumult'@en
C_O_SOIL_TAXONOMY,UHUSO,Sombrihumult,http://registry.it.csiro.au/def/soils/soil-taxonomy/,sombrihumult,sombrihumult,http://registry.it.csiro.au/def/soils/soil-taxonomy/sombrihumult,',@en,'Sombrihumult'@en
C_O_SOIL_TAXONOMY,UUD,Udult,http://registry.it.csiro.au/def/soils/soil-taxonomy/,udult,udult,http://registry.it.csiro.au/def/soils/soil-taxonomy/udult,',@en,'Udult'@en
C_O_SOIL_TAXONOMY,UUDFR,Fragiudult,http://registry.it.csiro.au/def/soils/soil-taxonomy/,fragiudult,fragiudult,http://registry.it.csiro.au/def/soils/soil-taxonomy/fragiudult,',@en,'Fragiudult'@en
C_O_SOIL_TAXONOMY,UUDHA,Hapludult,http://registry.it.csiro.au/def/soils/soil-taxonomy/,hapludult,hapludult,http://registry.it.csiro.au/def/soils/soil-taxonomy/hapludult,',@en,'Hapludult'@en
C_O_SOIL_TAXONOMY,UUDKA,Kandiudult,http://registry.it.csiro.au/def/soils/soil-taxonomy/,kandiudult,kandiudult,http://registry.it.csiro.au/def/soils/soil-taxonomy/kandiudult,',@en,'Kandiudult'@en
C_O_SOIL_TAXONOMY,UUDKH,Kanhapludult,http://registry.it.csiro.au/def/soils/soil-taxonomy/,kanhapludult,kanhapludult,http://registry.it.csiro.au/def/soils/soil-taxonomy/kanhapludult,',@en,'Kanhapludult'@en
C_O_SOIL_TAXONOMY,UUDPA,Paleudult,http://registry.it.csiro.au/def/soils/soil-taxonomy/,paleudult,paleudult,http://registry.it.csiro.au/def/soils/soil-taxonomy/paleudult,',@en,'Paleudult'@en
C_O_SOIL_TAXONOMY,UUDPN,Plinthudult,http://registry.it.csiro.au/def/soils/soil-taxonomy/,plinthudult,plinthudult,http://registry.it.csiro.au/def/soils/soil-taxonomy/plinthudult,',@en,'Plinthudult'@en
C_O_SOIL_TAXONOMY,UUDRH,Rhodudult,http://registry.it.csiro.au/def/soils/soil-taxonomy/,rhodudult,rhodudult,http://registry.it.csiro.au/def/soils/soil-taxonomy/rhodudult,',@en,'Rhodudult'@en
C_O_SOIL_TAXONOMY,UUS,Ustult,http://registry.it.csiro.au/def/soils/soil-taxonomy/,ustult,ustult,http://registry.it.csiro.au/def/soils/soil-taxonomy/ustult,',@en,'Ustult'@en
C_O_SOIL_TAXONOMY,UUSHA,Haplustult,http://registry.it.csiro.au/def/soils/soil-taxonomy/,haplustult,haplustult,http://registry.it.csiro.au/def/soils/soil-taxonomy/haplustult,',@en,'Haplustult'@en
C_O_SOIL_TAXONOMY,UUSKA,Kandiustult,http://registry.it.csiro.au/def/soils/soil-taxonomy/,kandiustult,kandiustult,http://registry.it.csiro.au/def/soils/soil-taxonomy/kandiustult,',@en,'Kandiustult'@en
C_O_SOIL_TAXONOMY,UUSKH,Kanhaplustukt,http://registry.it.csiro.au/def/soils/soil-taxonomy/,kanhaplustukt,kanhaplustukt,http://registry.it.csiro.au/def/soils/soil-taxonomy/kanhaplustukt,',@en,'Kanhaplustukt'@en
C_O_SOIL_TAXONOMY,UUSPA,Paleustult,http://registry.it.csiro.au/def/soils/soil-taxonomy/,paleustult,paleustult,http://registry.it.csiro.au/def/soils/soil-taxonomy/paleustult,',@en,'Paleustult'@en
C_O_SOIL_TAXONOMY,UUSPN,Plinthustult,http://registry.it.csiro.au/def/soils/soil-taxonomy/,plinthustult,plinthustult,http://registry.it.csiro.au/def/soils/soil-taxonomy/plinthustult,',@en,'Plinthustult'@en
C_O_SOIL_TAXONOMY,UUSRH,Rhodustult,http://registry.it.csiro.au/def/soils/soil-taxonomy/,rhodustult,rhodustult,http://registry.it.csiro.au/def/soils/soil-taxonomy/rhodustult,',@en,'Rhodustult'@en
C_O_SOIL_TAXONOMY,UXE,Xerult,http://registry.it.csiro.au/def/soils/soil-taxonomy/,xerult,xerult,http://registry.it.csiro.au/def/soils/soil-taxonomy/xerult,',@en,'Xerult'@en
C_O_SOIL_TAXONOMY,UXEHA,Haploxerult,http://registry.it.csiro.au/def/soils/soil-taxonomy/,haploxerult,haploxerult,http://registry.it.csiro.au/def/soils/soil-taxonomy/haploxerult,',@en,'Haploxerult'@en
C_O_SOIL_TAXONOMY,UXEPA,Palexerult,http://registry.it.csiro.au/def/soils/soil-taxonomy/,palexerult,palexerult,http://registry.it.csiro.au/def/soils/soil-taxonomy/palexerult,',@en,'Palexerult'@en
C_O_SOIL_TAXONOMY,V,Vertisol,http://registry.it.csiro.au/def/soils/soil-taxonomy/,vertisol,vertisol,http://registry.it.csiro.au/def/soils/soil-taxonomy/vertisol,',@en,'Vertisol'@en
C_O_SOIL_TAXONOMY,VTD,Torrert,http://registry.it.csiro.au/def/soils/soil-taxonomy/,torrert,torrert,http://registry.it.csiro.au/def/soils/soil-taxonomy/torrert,',@en,'Torrert'@en
C_O_SOIL_TAXONOMY,VTOTO,Torrert,http://registry.it.csiro.au/def/soils/soil-taxonomy/,torrert,torrert,http://registry.it.csiro.au/def/soils/soil-taxonomy/torrert,',@en,'Torrert'@en
C_O_SOIL_TAXONOMY,VUD,Udert,http://registry.it.csiro.au/def/soils/soil-taxonomy/,udert,udert,http://registry.it.csiro.au/def/soils/soil-taxonomy/udert,',@en,'Udert'@en
C_O_SOIL_TAXONOMY,VUDCH,Chromudert,http://registry.it.csiro.au/def/soils/soil-taxonomy/,chromudert,chromudert,http://registry.it.csiro.au/def/soils/soil-taxonomy/chromudert,',@en,'Chromudert'@en
C_O_SOIL_TAXONOMY,VUDPE,Pelludert,http://registry.it.csiro.au/def/soils/soil-taxonomy/,pelludert,pelludert,http://registry.it.csiro.au/def/soils/soil-taxonomy/pelludert,',@en,'Pelludert'@en
C_O_SOIL_TAXONOMY,VUS,Ustert,http://registry.it.csiro.au/def/soils/soil-taxonomy/,ustert,ustert,http://registry.it.csiro.au/def/soils/soil-taxonomy/ustert,',@en,'Ustert'@en
C_O_SOIL_TAXONOMY,VUSCH,Chromustert,http://registry.it.csiro.au/def/soils/soil-taxonomy/,chromustert,chromustert,http://registry.it.csiro.au/def/soils/soil-taxonomy/chromustert,',@en,'Chromustert'@en
C_O_SOIL_TAXONOMY,VUSPE,Pellustert,http://registry.it.csiro.au/def/soils/soil-taxonomy/,pellustert,pellustert,http://registry.it.csiro.au/def/soils/soil-taxonomy/pellustert,',@en,'Pellustert'@en
C_O_SOIL_TAXONOMY,VXE,Xerert,http://registry.it.csiro.au/def/soils/soil-taxonomy/,xerert,xerert,http://registry.it.csiro.au/def/soils/soil-taxonomy/xerert,',@en,'Xerert'@en
C_O_SOIL_TAXONOMY,VXECH,Chromoxerert,http://registry.it.csiro.au/def/soils/soil-taxonomy/,chromoxerert,chromoxerert,http://registry.it.csiro.au/def/soils/soil-taxonomy/chromoxerert,',@en,'Chromoxerert'@en
C_O_SOIL_TAXONOMY,VXEPE,Pelloxerert,http://registry.it.csiro.au/def/soils/soil-taxonomy/,pelloxerert,pelloxerert,http://registry.it.csiro.au/def/soils/soil-taxonomy/pelloxerert,',@en,'Pelloxerert'@en
