skos:notation,CODE_DESC,URI one,URI two,URI three,rdf:type,rdfs:label one,rdfs:label two,rdfs:label three,rdfs:label four,skos:definition
MSCL,Medium sandy clay loam,medium-sandy-clay-loam,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/medium-sandy-clay-loam,skos:Concept,Medium sandy clay loam,',@en,'Medium sandy clay loam'@en,Medium sandy clay loam
MSHC,Medium sandy heavy clay,medium-sandy-heavy-clay,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/medium-sandy-heavy-clay,skos:Concept,Medium sandy heavy clay,',@en,'Medium sandy heavy clay'@en,Medium sandy heavy clay
MSL,Medium sandy loam,medium-sandy-loam,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/medium-sandy-loam,skos:Concept,Medium sandy loam,',@en,'Medium sandy loam'@en,Medium sandy loam
MSLC,Medium sandy light clay,medium-sandy-light-clay,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/medium-sandy-light-clay,skos:Concept,Medium sandy light clay,',@en,'Medium sandy light clay'@en,Medium sandy light clay
MSLMC,Medium sandy light medium clay,medium-sandy-light-medium-clay,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/medium-sandy-light-medium-clay,skos:Concept,Medium sandy light medium clay,',@en,'Medium sandy light medium clay'@en,Medium sandy light medium clay
MSMC,Medium sandy medium clay,medium-sandy-medium-clay,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/medium-sandy-medium-clay,skos:Concept,Medium sandy medium clay,',@en,'Medium sandy medium clay'@en,Medium sandy medium clay
MSMHC,Medium sandy medium heavy clay,medium-sandy-medium-heavy-clay,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/medium-sandy-medium-heavy-clay,skos:Concept,Medium sandy medium heavy clay,',@en,'Medium sandy medium heavy clay'@en,Medium sandy medium heavy clay
MSS,Medium pure sand,medium-pure-sand,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/medium-pure-sand,skos:Concept,Medium pure sand,',@en,'Medium pure sand'@en,Medium pure sand
S,Sand,sand,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/sand,skos:Concept,Sand,',@en,'Sand'@en,Sand
SC,Sandy clay,sandy-clay,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/sandy-clay,skos:Concept,Sandy clay,',@en,'Sandy clay'@en,Sandy clay
SCL,Sandy clay loam,sandy-clay-loam,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/sandy-clay-loam,skos:Concept,Sandy clay loam,',@en,'Sandy clay loam'@en,Sandy clay loam
SCLFS,"Sandy clay loam, fine sand","sandy-clay-loam,-fine-sand",http://registry.it.csiro.au/def/soils/texture/,"http://registry.it.csiro.au/def/soils/texture/sandy-clay-loam,-fine-sand",skos:Concept,"Sandy clay loam, fine sand",',@en,"'Sandy clay loam, fine sand'@en","Sandy clay loam, fine sand"
SHC,Sandy heavy clay,sandy-heavy-clay,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/sandy-heavy-clay,skos:Concept,Sandy heavy clay,',@en,'Sandy heavy clay'@en,Sandy heavy clay
SL,Sandy loam,sandy-loam,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/sandy-loam,skos:Concept,Sandy loam,',@en,'Sandy loam'@en,Sandy loam
SLC,Sandy light clay,sandy-light-clay,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/sandy-light-clay,skos:Concept,Sandy light clay,',@en,'Sandy light clay'@en,Sandy light clay
SLMC,Sandy light medium clay,sandy-light-medium-clay,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/sandy-light-medium-clay,skos:Concept,Sandy light medium clay,',@en,'Sandy light medium clay'@en,Sandy light medium clay
SMC,Sandy medium clay,sandy-medium-clay,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/sandy-medium-clay,skos:Concept,Sandy medium clay,',@en,'Sandy medium clay'@en,Sandy medium clay
SMHC,Sandy medium heavy clay,sandy-medium-heavy-clay,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/sandy-medium-heavy-clay,skos:Concept,Sandy medium heavy clay,',@en,'Sandy medium heavy clay'@en,Sandy medium heavy clay
SP,Sandy peat,sandy-peat,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/sandy-peat,skos:Concept,Sandy peat,',@en,'Sandy peat'@en,Sandy peat
SS,Pure sand,pure-sand,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/pure-sand,skos:Concept,Pure sand,',@en,'Pure sand'@en,Pure sand
ST,Stones,stones,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/stones,skos:Concept,Stones,',@en,'Stones'@en,Stones
VWCFS,Very weak clayey fine sand,very-weak-clayey-fine-sand,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/very-weak-clayey-fine-sand,skos:Concept,Very weak clayey fine sand,',@en,'Very weak clayey fine sand'@en,Very weak clayey fine sand
VWCKS,Very weak clayey coarse sand,very-weak-clayey-coarse-sand,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/very-weak-clayey-coarse-sand,skos:Concept,Very weak clayey coarse sand,',@en,'Very weak clayey coarse sand'@en,Very weak clayey coarse sand
VWCMS,Very weak clayey medium sand,very-weak-clayey-medium-sand,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/very-weak-clayey-medium-sand,skos:Concept,Very weak clayey medium sand,',@en,'Very weak clayey medium sand'@en,Very weak clayey medium sand
VWCS,Very weak clayey sand,very-weak-clayey-sand,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/very-weak-clayey-sand,skos:Concept,Very weak clayey sand,',@en,'Very weak clayey sand'@en,Very weak clayey sand
WCFS,Weak clayey fine sand,weak-clayey-fine-sand,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/weak-clayey-fine-sand,skos:Concept,Weak clayey fine sand,',@en,'Weak clayey fine sand'@en,Weak clayey fine sand
WCKS,Weak clayey coarse sand,weak-clayey-coarse-sand,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/weak-clayey-coarse-sand,skos:Concept,Weak clayey coarse sand,',@en,'Weak clayey coarse sand'@en,Weak clayey coarse sand
WCMS,Weak clayey medium sand,weak-clayey-medium-sand,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/weak-clayey-medium-sand,skos:Concept,Weak clayey medium sand,',@en,'Weak clayey medium sand'@en,Weak clayey medium sand
WCS,Weak clayey sand,weak-clayey-sand,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/weak-clayey-sand,skos:Concept,Weak clayey sand,',@en,'Weak clayey sand'@en,Weak clayey sand
ZC,Silty clay,silty-clay,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/silty-clay,skos:Concept,Silty clay,',@en,'Silty clay'@en,Silty clay
ZCL,Silty clay loam,silty-clay-loam,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/silty-clay-loam,skos:Concept,Silty clay loam,',@en,'Silty clay loam'@en,Silty clay loam
ZHC,Silty heavy clay,silty-heavy-clay,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/silty-heavy-clay,skos:Concept,Silty heavy clay,',@en,'Silty heavy clay'@en,Silty heavy clay
ZL,Silty loam,silty-loam,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/silty-loam,skos:Concept,Silty loam,',@en,'Silty loam'@en,Silty loam
ZLC,Silty light clay,silty-light-clay,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/silty-light-clay,skos:Concept,Silty light clay,',@en,'Silty light clay'@en,Silty light clay
ZLMC,Silty light medium clay,silty-light-medium-clay,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/silty-light-medium-clay,skos:Concept,Silty light medium clay,',@en,'Silty light medium clay'@en,Silty light medium clay
ZMC,Silty medium clay,silty-medium-clay,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/silty-medium-clay,skos:Concept,Silty medium clay,',@en,'Silty medium clay'@en,Silty medium clay
ZMHC,Silty medium heavy clay,silty-medium-heavy-clay,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/silty-medium-heavy-clay,skos:Concept,Silty medium heavy clay,',@en,'Silty medium heavy clay'@en,Silty medium heavy clay
