skos:notation,CODE_DESC,URI three,rdf:type,rdfs:label one,rdfs:label two,rdfs:label three,rdfs:label four,skos:definition
FSMC,Fine sandy medium clay,http://registry.it.csiro.au/def/soils/texture/fine-sandy-medium-clay,skos:Concept,Fine sandy medium clay,',@en,'Fine sandy medium clay'@en,Fine sandy medium clay
FSMHC,Fine sandy medium heavy clay,http://registry.it.csiro.au/def/soils/texture/fine-sandy-medium-heavy-clay,skos:Concept,Fine sandy medium heavy clay,',@en,'Fine sandy medium heavy clay'@en,Fine sandy medium heavy clay
FSS,Fine pure sand,http://registry.it.csiro.au/def/soils/texture/fine-pure-sand,skos:Concept,Fine pure sand,',@en,'Fine pure sand'@en,Fine pure sand
GP,Granular peat,http://registry.it.csiro.au/def/soils/texture/granular-peat,skos:Concept,Granular peat,',@en,'Granular peat'@en,Granular peat
GR,Gravel,http://registry.it.csiro.au/def/soils/texture/gravel,skos:Concept,Gravel,',@en,'Gravel'@en,Gravel
HC,Heavy clay,http://registry.it.csiro.au/def/soils/texture/heavy-clay,skos:Concept,Heavy clay,',@en,'Heavy clay'@en,Heavy clay
HP,Hemic peat,http://registry.it.csiro.au/def/soils/texture/hemic-peat,skos:Concept,Hemic peat,',@en,'Hemic peat'@en,Hemic peat
IP,Fibric peat,http://registry.it.csiro.au/def/soils/texture/fibric-peat,skos:Concept,Fibric peat,',@en,'Fibric peat'@en,Fibric peat
KS,Coarse sand,http://registry.it.csiro.au/def/soils/texture/coarse-sand,skos:Concept,Coarse sand,',@en,'Coarse sand'@en,Coarse sand
KSC,Coarse sandy clay,http://registry.it.csiro.au/def/soils/texture/coarse-sandy-clay,skos:Concept,Coarse sandy clay,',@en,'Coarse sandy clay'@en,Coarse sandy clay
KSCL,Coarse sandy clay loam,http://registry.it.csiro.au/def/soils/texture/coarse-sandy-clay-loam,skos:Concept,Coarse sandy clay loam,',@en,'Coarse sandy clay loam'@en,Coarse sandy clay loam
KSHC,Coarse sandy heavy clay,http://registry.it.csiro.au/def/soils/texture/coarse-sandy-heavy-clay,skos:Concept,Coarse sandy heavy clay,',@en,'Coarse sandy heavy clay'@en,Coarse sandy heavy clay
KSL,Coarse sandy loam,http://registry.it.csiro.au/def/soils/texture/coarse-sandy-loam,skos:Concept,Coarse sandy loam,',@en,'Coarse sandy loam'@en,Coarse sandy loam
KSLC,Coarse sandy light clay,http://registry.it.csiro.au/def/soils/texture/coarse-sandy-light-clay,skos:Concept,Coarse sandy light clay,',@en,'Coarse sandy light clay'@en,Coarse sandy light clay
KSLMC,Coarse sandy light medium clay,http://registry.it.csiro.au/def/soils/texture/coarse-sandy-light-medium-clay,skos:Concept,Coarse sandy light medium clay,',@en,'Coarse sandy light medium clay'@en,Coarse sandy light medium clay
KSMC,Coarse sandy medium clay,http://registry.it.csiro.au/def/soils/texture/coarse-sandy-medium-clay,skos:Concept,Coarse sandy medium clay,',@en,'Coarse sandy medium clay'@en,Coarse sandy medium clay
KSMHC,Coarse sandy medium heavy clay,http://registry.it.csiro.au/def/soils/texture/coarse-sandy-medium-heavy-clay,skos:Concept,Coarse sandy medium heavy clay,',@en,'Coarse sandy medium heavy clay'@en,Coarse sandy medium heavy clay
KSS,Coarse pure sand,http://registry.it.csiro.au/def/soils/texture/coarse-pure-sand,skos:Concept,Coarse pure sand,',@en,'Coarse pure sand'@en,Coarse pure sand
L,Loam,http://registry.it.csiro.au/def/soils/texture/loam,skos:Concept,Loam,',@en,'Loam'@en,Loam
LC,Light clay,http://registry.it.csiro.au/def/soils/texture/light-clay,skos:Concept,Light clay,',@en,'Light clay'@en,Light clay
LFS,Loamy fine sand,http://registry.it.csiro.au/def/soils/texture/loamy-fine-sand,skos:Concept,Loamy fine sand,',@en,'Loamy fine sand'@en,Loamy fine sand
LKS,Loamy coarse sand,http://registry.it.csiro.au/def/soils/texture/loamy-coarse-sand,skos:Concept,Loamy coarse sand,',@en,'Loamy coarse sand'@en,Loamy coarse sand
LMC,Light medium clay,http://registry.it.csiro.au/def/soils/texture/light-medium-clay,skos:Concept,Light medium clay,',@en,'Light medium clay'@en,Light medium clay
LMS,Loamy medium sand,http://registry.it.csiro.au/def/soils/texture/loamy-medium-sand,skos:Concept,Loamy medium sand,',@en,'Loamy medium sand'@en,Loamy medium sand
LP,Loamy peat,http://registry.it.csiro.au/def/soils/texture/loamy-peat,skos:Concept,Loamy peat,',@en,'Loamy peat'@en,Loamy peat
LS,Loamy sand,http://registry.it.csiro.au/def/soils/texture/loamy-sand,skos:Concept,Loamy sand,',@en,'Loamy sand'@en,Loamy sand
MC,Medium clay,http://registry.it.csiro.au/def/soils/texture/medium-clay,skos:Concept,Medium clay,',@en,'Medium clay'@en,Medium clay
MHC,Medium heavy clay,http://registry.it.csiro.au/def/soils/texture/medium-heavy-clay,skos:Concept,Medium heavy clay,',@en,'Medium heavy clay'@en,Medium heavy clay
MS,Medium sand,http://registry.it.csiro.au/def/soils/texture/medium-sand,skos:Concept,Medium sand,',@en,'Medium sand'@en,Medium sand
MSC,Medium sandy clay,http://registry.it.csiro.au/def/soils/texture/medium-sandy-clay,skos:Concept,Medium sandy clay,',@en,'Medium sandy clay'@en,Medium sandy clay
MSCL,Medium sandy clay loam,http://registry.it.csiro.au/def/soils/texture/medium-sandy-clay-loam,skos:Concept,Medium sandy clay loam,',@en,'Medium sandy clay loam'@en,Medium sandy clay loam
MSHC,Medium sandy heavy clay,http://registry.it.csiro.au/def/soils/texture/medium-sandy-heavy-clay,skos:Concept,Medium sandy heavy clay,',@en,'Medium sandy heavy clay'@en,Medium sandy heavy clay
MSL,Medium sandy loam,http://registry.it.csiro.au/def/soils/texture/medium-sandy-loam,skos:Concept,Medium sandy loam,',@en,'Medium sandy loam'@en,Medium sandy loam
MSLC,Medium sandy light clay,http://registry.it.csiro.au/def/soils/texture/medium-sandy-light-clay,skos:Concept,Medium sandy light clay,',@en,'Medium sandy light clay'@en,Medium sandy light clay
MSLMC,Medium sandy light medium clay,http://registry.it.csiro.au/def/soils/texture/medium-sandy-light-medium-clay,skos:Concept,Medium sandy light medium clay,',@en,'Medium sandy light medium clay'@en,Medium sandy light medium clay
MSMC,Medium sandy medium clay,http://registry.it.csiro.au/def/soils/texture/medium-sandy-medium-clay,skos:Concept,Medium sandy medium clay,',@en,'Medium sandy medium clay'@en,Medium sandy medium clay
MSMHC,Medium sandy medium heavy clay,http://registry.it.csiro.au/def/soils/texture/medium-sandy-medium-heavy-clay,skos:Concept,Medium sandy medium heavy clay,',@en,'Medium sandy medium heavy clay'@en,Medium sandy medium heavy clay
MSS,Medium pure sand,http://registry.it.csiro.au/def/soils/texture/medium-pure-sand,skos:Concept,Medium pure sand,',@en,'Medium pure sand'@en,Medium pure sand
S,Sand,http://registry.it.csiro.au/def/soils/texture/sand,skos:Concept,Sand,',@en,'Sand'@en,Sand
SC,Sandy clay,http://registry.it.csiro.au/def/soils/texture/sandy-clay,skos:Concept,Sandy clay,',@en,'Sandy clay'@en,Sandy clay
SCL,Sandy clay loam,http://registry.it.csiro.au/def/soils/texture/sandy-clay-loam,skos:Concept,Sandy clay loam,',@en,'Sandy clay loam'@en,Sandy clay loam
SCLFS,"Sandy clay loam, fine sand","http://registry.it.csiro.au/def/soils/texture/sandy-clay-loam,-fine-sand",skos:Concept,"Sandy clay loam, fine sand",',@en,"'Sandy clay loam, fine sand'@en","Sandy clay loam, fine sand"
SHC,Sandy heavy clay,http://registry.it.csiro.au/def/soils/texture/sandy-heavy-clay,skos:Concept,Sandy heavy clay,',@en,'Sandy heavy clay'@en,Sandy heavy clay
SL,Sandy loam,http://registry.it.csiro.au/def/soils/texture/sandy-loam,skos:Concept,Sandy loam,',@en,'Sandy loam'@en,Sandy loam
SLC,Sandy light clay,http://registry.it.csiro.au/def/soils/texture/sandy-light-clay,skos:Concept,Sandy light clay,',@en,'Sandy light clay'@en,Sandy light clay
SLMC,Sandy light medium clay,http://registry.it.csiro.au/def/soils/texture/sandy-light-medium-clay,skos:Concept,Sandy light medium clay,',@en,'Sandy light medium clay'@en,Sandy light medium clay
SMC,Sandy medium clay,http://registry.it.csiro.au/def/soils/texture/sandy-medium-clay,skos:Concept,Sandy medium clay,',@en,'Sandy medium clay'@en,Sandy medium clay
SMHC,Sandy medium heavy clay,http://registry.it.csiro.au/def/soils/texture/sandy-medium-heavy-clay,skos:Concept,Sandy medium heavy clay,',@en,'Sandy medium heavy clay'@en,Sandy medium heavy clay
SP,Sandy peat,http://registry.it.csiro.au/def/soils/texture/sandy-peat,skos:Concept,Sandy peat,',@en,'Sandy peat'@en,Sandy peat
SS,Pure sand,http://registry.it.csiro.au/def/soils/texture/pure-sand,skos:Concept,Pure sand,',@en,'Pure sand'@en,Pure sand
ST,Stones,http://registry.it.csiro.au/def/soils/texture/stones,skos:Concept,Stones,',@en,'Stones'@en,Stones
VWCFS,Very weak clayey fine sand,http://registry.it.csiro.au/def/soils/texture/very-weak-clayey-fine-sand,skos:Concept,Very weak clayey fine sand,',@en,'Very weak clayey fine sand'@en,Very weak clayey fine sand
VWCKS,Very weak clayey coarse sand,http://registry.it.csiro.au/def/soils/texture/very-weak-clayey-coarse-sand,skos:Concept,Very weak clayey coarse sand,',@en,'Very weak clayey coarse sand'@en,Very weak clayey coarse sand
VWCMS,Very weak clayey medium sand,http://registry.it.csiro.au/def/soils/texture/very-weak-clayey-medium-sand,skos:Concept,Very weak clayey medium sand,',@en,'Very weak clayey medium sand'@en,Very weak clayey medium sand
VWCS,Very weak clayey sand,http://registry.it.csiro.au/def/soils/texture/very-weak-clayey-sand,skos:Concept,Very weak clayey sand,',@en,'Very weak clayey sand'@en,Very weak clayey sand
WCFS,Weak clayey fine sand,http://registry.it.csiro.au/def/soils/texture/weak-clayey-fine-sand,skos:Concept,Weak clayey fine sand,',@en,'Weak clayey fine sand'@en,Weak clayey fine sand
WCKS,Weak clayey coarse sand,http://registry.it.csiro.au/def/soils/texture/weak-clayey-coarse-sand,skos:Concept,Weak clayey coarse sand,',@en,'Weak clayey coarse sand'@en,Weak clayey coarse sand
WCMS,Weak clayey medium sand,http://registry.it.csiro.au/def/soils/texture/weak-clayey-medium-sand,skos:Concept,Weak clayey medium sand,',@en,'Weak clayey medium sand'@en,Weak clayey medium sand
WCS,Weak clayey sand,http://registry.it.csiro.au/def/soils/texture/weak-clayey-sand,skos:Concept,Weak clayey sand,',@en,'Weak clayey sand'@en,Weak clayey sand
ZC,Silty clay,http://registry.it.csiro.au/def/soils/texture/silty-clay,skos:Concept,Silty clay,',@en,'Silty clay'@en,Silty clay
ZCL,Silty clay loam,http://registry.it.csiro.au/def/soils/texture/silty-clay-loam,skos:Concept,Silty clay loam,',@en,'Silty clay loam'@en,Silty clay loam
ZHC,Silty heavy clay,http://registry.it.csiro.au/def/soils/texture/silty-heavy-clay,skos:Concept,Silty heavy clay,',@en,'Silty heavy clay'@en,Silty heavy clay
ZL,Silty loam,http://registry.it.csiro.au/def/soils/texture/silty-loam,skos:Concept,Silty loam,',@en,'Silty loam'@en,Silty loam
ZLC,Silty light clay,http://registry.it.csiro.au/def/soils/texture/silty-light-clay,skos:Concept,Silty light clay,',@en,'Silty light clay'@en,Silty light clay
ZLMC,Silty light medium clay,http://registry.it.csiro.au/def/soils/texture/silty-light-medium-clay,skos:Concept,Silty light medium clay,',@en,'Silty light medium clay'@en,Silty light medium clay
ZMC,Silty medium clay,http://registry.it.csiro.au/def/soils/texture/silty-medium-clay,skos:Concept,Silty medium clay,',@en,'Silty medium clay'@en,Silty medium clay
ZMHC,Silty medium heavy clay,http://registry.it.csiro.au/def/soils/texture/silty-medium-heavy-clay,skos:Concept,Silty medium heavy clay,',@en,'Silty medium heavy clay'@en,Silty medium heavy clay
