CODE_VALUE	CODE_DESC	URI one	URI two	URI three	skos:label one
SL	Sandy loam	sandy-loam	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/sandy-loam	
SLC	Sandy light clay	sandy-light-clay	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/sandy-light-clay	
SLMC	Sandy light medium clay	sandy-light-medium-clay	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/sandy-light-medium-clay	
SMC	Sandy medium clay	sandy-medium-clay	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/sandy-medium-clay	
SMHC	Sandy medium heavy clay	sandy-medium-heavy-clay	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/sandy-medium-heavy-clay	
SP	Sandy peat	sandy-peat	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/sandy-peat	
SS	Pure sand	pure-sand	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/pure-sand	
ST	Stones	stones	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/stones	
VWCFS	Very weak clayey fine sand	very-weak-clayey-fine-sand	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/very-weak-clayey-fine-sand	
VWCKS	Very weak clayey coarse sand	very-weak-clayey-coarse-sand	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/very-weak-clayey-coarse-sand	
VWCMS	Very weak clayey medium sand	very-weak-clayey-medium-sand	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/very-weak-clayey-medium-sand	
VWCS	Very weak clayey sand	very-weak-clayey-sand	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/very-weak-clayey-sand	
WCFS	Weak clayey fine sand	weak-clayey-fine-sand	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/weak-clayey-fine-sand	
WCKS	Weak clayey coarse sand	weak-clayey-coarse-sand	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/weak-clayey-coarse-sand	
WCMS	Weak clayey medium sand	weak-clayey-medium-sand	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/weak-clayey-medium-sand	
WCS	Weak clayey sand	weak-clayey-sand	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/weak-clayey-sand	
ZC	Silty clay	silty-clay	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/silty-clay	
ZCL	Silty clay loam	silty-clay-loam	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/silty-clay-loam	
ZHC	Silty heavy clay	silty-heavy-clay	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/silty-heavy-clay	
ZL	Silty loam	silty-loam	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/silty-loam	
ZLC	Silty light clay	silty-light-clay	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/silty-light-clay	
ZLMC	Silty light medium clay	silty-light-medium-clay	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/silty-light-medium-clay	
ZMC	Silty medium clay	silty-medium-clay	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/silty-medium-clay	
ZMHC	Silty medium heavy clay	silty-medium-heavy-clay	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/silty-medium-heavy-clay	
